Latest: Wavelength (nm),Latest: Intensity (rel)
350.4,0.01943694209
351,0.01813992523
351.7,0.02018463417
352.3,0.02120698863
353,0.02084077211
353.6,0.01865873198
354.3,0.01984893568
354.9,0.01945220111
355.6,0.02135957885
356.2,0.02016937514
356.9,0.01957427329
357.5,0.01922331579
358.2,0.02287022202
358.8,0.02071869993
359.5,0.01962005035
360.1,0.01891813535
360.8,0.02149691005
361.4,0.01807888914
362.1,0.02175631342
362.7,0.02151216907
363.4,0.01936064698
364,0.0225803006
364.7,0.01868925002
365.3,0.01830777447
366,0.02035248341
366.6,0.01974212253
367.3,0.01855191882
367.9,0.01873502708
368.6,0.02242771038
369.2,0.01813992523
369.9,0.01910124361
370.5,0.01757534142
371.2,0.02006256199
371.8,0.020764477
372.5,0.02073395895
373.1,0.02247348745
373.8,0.01856717784
374.4,0.02050507362
375.1,0.0179110399
375.7,0.01943694209
376.4,0.01969634546
377,0.01865873198
377.7,0.01923857481
378.3,0.02019989319
379,0.02120698863
379.6,0.02053559167
380.3,0.01887235828
380.9,0.02180209049
381.6,0.01952849622
382.2,0.0216037232
382.9,0.01934538796
383.5,0.02074921798
384.2,0.01800259403
384.8,0.02120698863
385.5,0.02128328374
386.1,0.01929961089
386.8,0.02100862135
387.4,0.01994048981
388.1,0.02041351949
388.7,0.0202761883
389.4,0.01847562371
390.1,0.02093232624
390.7,0.01714808881
391.4,0.01824673838
392,0.01922331579
392.7,0.0212527657
393.3,0.02129854276
394,0.02210727092
394.6,0.01603418021
395.3,0.02114595254
395.9,0.0225803006
396.6,0.02039826047
397.2,0.02129854276
397.9,0.02227512016
398.5,0.02200045777
399.2,0.0216037232
399.8,0.01943694209
400.5,0.02064240482
401.1,0.0212527657
401.8,0.02065766384
402.4,0.01983367666
403.1,0.01974212253
403.7,0.01968108644
404.4,0.02042877852
405,0.0212527657
405.7,0.02192416266
406.3,0.01865873198
407,0.02110017548
407.6,0.0206271458
408.3,0.02468604562
408.9,0.02894331273
409.6,0.02193942168
410.2,0.02224460212
410.9,0.0191622797
411.5,0.02036774243
412.2,0.01795681697
412.8,0.02023041123
413.5,0.02041351949
414.1,0.01749904631
414.8,0.02036774243
415.4,0.01875028611
416.1,0.02038300145
416.8,0.01794155795
417.4,0.01780422675
418.1,0.02169527733
418.8,0.02009308003
419.5,0.01908598459
420.1,0.02024567025
420.8,0.02006256199
421.5,0.018673991
422.1,0.02039826047
422.8,0.01748378729
423.5,0.01963530938
424.2,0.01893339437
424.8,0.01928435187
425.5,0.02103913939
426.2,0.01954375525
426.9,0.01838406958
427.5,0.01849088273
428.2,0.02158846418
428.9,0.01821622034
429.5,0.02026092927
430.2,0.02103913939
430.9,0.02227512016
431.6,0.02782940414
432.2,0.05517357137
432.9,0.1034836347
433.6,0.02442664225
434.3,0.02038300145
434.9,0.01907072557
435.6,0.02189364462
436.3,0.02081025406
436.9,0.01990997177
437.6,0.01774319066
438.3,0.01957427329
439,0.02224460212
439.6,0.02177157244
440.3,0.02586099031
441,0.02113069352
441.7,0.01980315862
442.3,0.01649195087
443,0.01751430533
443.7,0.0195132372
444.4,0.01847562371
445,0.02190890364
445.7,0.01846036469
446.4,0.01696498054
447,0.0202761883
447.7,0.01766689555
448.4,0.0225803006
449.1,0.01904020752
449.7,0.02180209049
450.4,0.01913176165
451.1,0.01740749218
451.7,0.01928435187
452.4,0.02293125811
453.1,0.01957427329
453.7,0.02071869993
454.4,0.02235141527
455.1,0.01908598459
455.7,0.02006256199
456.4,0.02126802472
457.1,0.01830777447
457.7,0.02120698863
458.4,0.01812466621
459.1,0.01885709926
459.7,0.02064240482
460.4,0.02032196536
461.1,0.02108491646
461.7,0.02052033265
462.4,0.0222293431
463.1,0.02225986114
463.7,0.01780422675
464.4,0.02074921798
465.1,0.02088654917
465.7,0.01858243687
466.4,0.01733119707
467.1,0.01949797818
467.7,0.02015411612
468.4,0.02021515221
469.1,0.0195132372
469.7,0.02103913939
470.4,0.01803311208
471.1,0.01969634546
471.7,0.01900968948
472.4,0.01746852827
473.1,0.01972686351
473.7,0.01728542
474.4,0.01873502708
475.1,0.01601892119
475.7,0.0163088426
476.4,0.01948271916
477.1,0.022854963
477.7,0.01997100786
478.4,0.01943694209
479.1,0.01792629892
479.7,0.01815518425
480.4,0.01864347295
481.1,0.02096284428
481.7,0.02419775692
482.4,0.02665445945
483.1,0.0508705272
483.7,0.1342000458
484.4,0.3139971008
485.1,0.8371374075
485.7,0.22009308
486.4,0.0206271458
487.1,0.02254978256
487.7,0.01615625238
488.4,0.02065766384
489,0.01910124361
489.7,0.01777370871
490.3,0.01777370871
491,0.01910124361
491.7,0.0195132372
492.3,0.01957427329
493,0.01974212253
493.6,0.01875028611
494.3,0.02212252995
494.9,0.01936064698
495.6,0.01983367666
496.3,0.01871976806
496.9,0.01739223316
497.6,0.01847562371
498.2,0.01913176165
498.9,0.01884184024
499.6,0.02023041123
500.2,0.01910124361
500.9,0.01780422675
501.5,0.01864347295
502.2,0.01858243687
502.8,0.01780422675
503.5,0.01727016098
504.2,0.02065766384
504.8,0.02044403754
505.5,0.01836881056
506.1,0.01621728847
506.8,0.01739223316
507.5,0.01855191882
508.1,0.01780422675
508.8,0.01588158999
509.4,0.01882658122
510.1,0.01885709926
510.7,0.01710231174
511.4,0.01788052186
512.1,0.01705653468
512.7,0.01894865339
513.4,0.01849088273
514,0.01974212253
514.7,0.01708705272
515.3,0.01870450904
516,0.01900968948
516.7,0.01469138628
517.3,0.01542381933
518,0.016583505
518.6,0.01870450904
519.3,0.0163088426
520,0.01884184024
520.6,0.01699549859
521.3,0.01725490196
521.9,0.01698023957
522.6,0.0174227512
523.2,0.01603418021
523.9,0.01917753872
524.6,0.01855191882
525.2,0.01714808881
525.9,0.01606469825
526.5,0.01894865339
527.2,0.01731593805
527.8,0.01893339437
528.5,0.01983367666
529.2,0.01803311208
529.8,0.01908598459
530.5,0.01974212253
531.1,0.01359273671
531.8,0.01826199741
532.5,0.01817044327
533.1,0.0188876173
533.8,0.01476768139
534.4,0.01563744564
535.1,0.02053559167
535.8,0.01968108644
536.4,0.0148439765
537.1,0.01977264057
537.8,0.01855191882
538.5,0.01690394446
539.1,0.01740749218
539.8,0.02038300145
540.5,0.01635461967
541.2,0.01913176165
541.9,0.01754482338
542.5,0.01817044327
543.2,0.01893339437
543.9,0.01612573434
544.6,0.01525597009
