Time (s),Temperature (°C),Absolute Pressure (kPa),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,40.0,39.1,0.000,,,0.0000,,
0.050,40.0,38.6,0.000,0.000,,0.0000,0.000,
0.100,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.150,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.200,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.250,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.300,40.0,39.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.350,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.400,40.0,39.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.450,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.500,40.0,39.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.550,39.9,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.600,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.650,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
0.700,40.0,38.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.750,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.800,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.850,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.900,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
0.950,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.000,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.050,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.100,39.9,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.150,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.200,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.250,40.1,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.300,39.9,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.350,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.400,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.450,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.500,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.550,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.600,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
