Time (s),Temperature (°C),Absolute Pressure (kPa),Angle (rad),Angular Velocity (rad/s),Angular Acceleration (rad/s²),Position (m),Velocity (m/s),Acceleration (m/s²)
1.650,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.700,39.9,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.750,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.800,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.850,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
1.900,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
1.950,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.000,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.050,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.100,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.150,39.9,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.200,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.250,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.300,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.350,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.400,39.9,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.450,39.9,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.500,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.550,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.600,39.9,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.650,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.700,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.750,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.800,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.850,40.0,39.1,0.000,0.000,0.000,0.0000,0.000,0.000
2.900,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
2.950,40.0,38.6,0.000,0.000,0.000,0.0000,0.000,0.000
3.000,40.0,39.1,0.000,0.000,-1.745,0.0000,0.000,-0.042
3.050,40.0,46.4,0.000,-0.175,-1.745,0.0000,-0.004,-0.042
3.100,40.0,46.9,-0.017,-0.175,1.745,-4.1667E-4,-0.004,0.042
3.150,40.0,49.3,-0.017,0.000,1.745,-4.1667E-4,0.000,0.042
3.200,40.0,49.8,-0.017,0.000,-1.745,-4.1667E-4,0.000,-0.042
3.250,40.0,62.0,-0.017,-0.175,-1.745,-4.1667E-4,-0.004,-0.042
3.300,40.0,65.9,-0.035,-0.175,1.745,-8.3333E-4,-0.004,0.042
3.350,40.0,64.5,-0.035,0.000,-2.776E-16,-8.3333E-4,0.000,8.674E-18
3.400,40.0,74.7,-0.035,-0.175,-6.981,-8.3333E-4,-0.004,-0.167
3.450,40.0,107.9,-0.052,-0.698,-5.236,-0.0012,-0.017,-0.125
3.500,40.0,162.1,-0.105,-0.698,1.745,-0.0025,-0.017,0.042
3.550,39.9,188.5,-0.122,-0.524,0.000,-0.0029,-0.012,-6.939E-17
3.600,40.0,246.1,-0.157,-0.698,1.745,-0.0037,-0.017,0.042
3.650,40.0,275.4,-0.192,-0.349,6.981,-0.0046,-0.008,0.167
3.700,40.0,273.9,-0.192,0.000,3.491,-0.0046,0.000,0.083
3.750,40.0,271.5,-0.192,0.000,0.000,-0.0046,0.000,0.000
3.800,40.0,268.6,-0.192,0.000,0.000,-0.0046,0.000,0.000
3.850,40.0,266.6,-0.192,0.000,0.000,-0.0046,0.000,0.000
3.900,39.9,265.6,-0.192,0.000,0.000,-0.0046,0.000,0.000
3.950,39.9,263.7,-0.192,0.000,0.000,-0.0046,0.000,0.000
4.000,40.0,263.2,-0.192,0.000,0.000,-0.0046,0.000,0.000
4.050,40.0,262.2,-0.192,0.000,-1.745,-0.0046,0.000,-0.042
4.100,40.0,261.7,-0.192,-0.175,-1.745,-0.0046,-0.004,-0.042
4.150,40.0,263.2,-0.209,-0.175,1.745,-0.0050,-0.004,0.042
4.200,40.0,264.2,-0.209,0.000,1.745,-0.0050,0.000,0.042
4.250,40.0,263.7,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.300,40.0,263.2,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.350,40.0,262.7,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.400,40.0,263.2,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.450,40.0,262.7,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.500,40.0,262.7,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.550,40.0,262.2,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.600,40.0,262.2,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.650,40.0,262.7,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.700,40.0,262.7,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.750,39.9,263.2,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.800,40.0,262.7,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.850,40.0,262.2,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.900,40.0,262.7,-0.209,0.000,0.000,-0.0050,0.000,0.000
4.950,40.0,263.2,-0.209,0.000,-1.745,-0.0050,0.000,-0.042
5.000,40.0,263.7,-0.209,-0.175,-1.745,-0.0050,-0.004,-0.042
5.050,40.0,263.7,-0.227,-0.175,1.745,-0.0054,-0.004,0.042
5.100,40.0,263.7,-0.227,0.000,1.745,-0.0054,0.000,0.042
5.150,40.0,262.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.200,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.250,40.0,262.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.300,40.0,262.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.350,40.0,262.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.400,40.0,262.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.450,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.500,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.550,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.600,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.650,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.700,39.9,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.750,40.0,262.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.800,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.850,39.9,263.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.900,40.0,263.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
5.950,40.0,264.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
6.000,40.0,263.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
6.050,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
6.100,40.0,263.2,-0.227,0.000,0.000,-0.0054,0.000,0.000
6.150,40.0,263.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
6.200,40.0,263.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
6.250,40.0,263.7,-0.227,0.000,0.000,-0.0054,0.000,0.000
6.300,39.9,263.7,-0.227,0.000,-1.745,-0.0054,0.000,-0.042
6.350,40.0,263.7,-0.227,-0.175,-1.745,-0.0054,-0.004,-0.042
6.400,40.0,263.7,-0.244,-0.175,1.745,-0.0058,-0.004,0.042
6.450,40.0,263.7,-0.244,0.000,1.745,-0.0058,0.000,0.042
6.500,40.0,263.7,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.550,39.9,263.7,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.600,40.0,263.7,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.650,40.0,263.7,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.700,40.0,263.7,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.750,40.0,263.7,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.800,40.0,264.2,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.850,40.0,264.2,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.900,40.0,264.2,-0.244,0.000,0.000,-0.0058,0.000,0.000
6.950,40.0,264.2,-0.244,0.000,0.000,-0.0058,0.000,0.000
7.000,39.9,264.2,-0.244,0.000,0.000,-0.0058,0.000,0.000
7.050,40.0,263.7,-0.244,0.000,0.000,-0.0058,0.000,0.000
7.100,40.0,265.6,-0.244,0.000,0.000,-0.0058,0.000,0.000
7.150,40.0,271.5,-0.244,0.000,1.745,-0.0058,0.000,0.042
7.200,40.0,281.3,-0.244,0.175,1.745,-0.0058,0.004,0.042
7.250,40.0,285.6,-0.227,0.175,-1.832E-14,-0.0054,0.004,-3.730E-16
7.300,40.0,284.2,-0.227,0.175,1.745,-0.0054,0.004,0.042
7.350,40.0,284.2,-0.209,0.349,1.745,-0.0050,0.008,0.042
7.400,40.0,285.2,-0.192,0.349,0.000,-0.0046,0.008,8.674E-17
7.450,40.0,285.6,-0.175,0.349,-3.386E-14,-0.0042,0.008,-6.592E-16
7.500,40.0,285.6,-0.157,0.349,1.745,-0.0037,0.008,0.042
7.550,40.0,285.6,-0.140,0.524,1.745,-0.0033,0.012,0.042
7.600,39.9,285.6,-0.105,0.524,-1.745,-0.0025,0.013,-0.042
7.650,39.9,286.1,-0.087,0.349,-1.745,-0.0021,0.008,-0.042
7.700,40.0,287.1,-0.070,0.349,-3.164E-14,-0.0017,0.008,-7.286E-16
7.750,40.0,288.1,-0.052,0.349,-2.942E-14,-0.0012,0.008,-7.633E-16
7.800,40.0,288.1,-0.035,0.349,3.109E-14,-8.3333E-4,0.008,7.459E-16
7.850,40.0,288.1,-0.017,0.349,3.053E-14,-4.1667E-4,0.008,7.459E-16
7.900,40.0,287.6,0.000,0.349,0.000,0.0000,0.008,0.000
7.950,40.0,287.1,0.017,0.349,-3.053E-14,4.1667E-4,0.008,-7.459E-16
8.000,40.0,286.6,0.035,0.349,0.000,8.3333E-4,0.008,0.000
8.050,40.0,287.1,0.052,0.349,2.942E-14,0.0012,0.008,7.633E-16
8.100,39.9,287.1,0.070,0.349,-6.162E-14,0.0017,0.008,-1.509E-15
8.150,39.9,286.6,0.087,0.349,1.665E-15,0.0021,0.008,-3.469E-17
8.200,40.0,286.1,0.105,0.349,-1.745,0.0025,0.008,-0.042
8.250,39.9,284.7,0.122,0.175,-1.745,0.0029,0.004,-0.042
8.300,39.9,285.6,0.122,0.175,1.745,0.0029,0.004,0.042
8.350,39.9,286.6,0.140,0.349,1.745,0.0033,0.008,0.042
8.400,39.9,285.6,0.157,0.349,-1.665E-15,0.0037,0.008,0.000
8.450,39.9,286.1,0.175,0.349,6.439E-14,0.0042,0.008,1.388E-15
8.500,39.9,286.1,0.192,0.349,-1.745,0.0046,0.008,-0.042
8.550,39.9,286.1,0.209,0.175,-1.745,0.0050,0.004,-0.042
8.600,39.9,286.1,0.209,0.175,1.745,0.0050,0.004,0.042
8.650,39.9,286.6,0.227,0.349,1.745,0.0054,0.008,0.042
8.700,39.9,286.1,0.244,0.349,6.162E-14,0.0058,0.008,1.475E-15
8.750,39.9,285.6,0.262,0.349,-1.745,0.0062,0.008,-0.042
8.800,39.9,286.1,0.279,0.175,-1.745,0.0067,0.004,-0.042
8.850,40.0,286.1,0.279,0.175,1.745,0.0067,0.004,0.042
8.900,39.9,286.1,0.297,0.349,0.000,0.0071,0.008,0.000
8.950,39.9,286.6,0.314,0.175,-1.745,0.0075,0.004,-0.042
9.000,39.9,286.1,0.314,0.175,1.745,0.0075,0.004,0.042
9.050,39.9,285.6,0.332,0.349,5.551E-15,0.0079,0.008,1.735E-16
9.100,39.9,285.6,0.349,0.175,-1.745,0.0083,0.004,-0.042
9.150,39.9,286.6,0.349,0.175,1.745,0.0083,0.004,0.042
9.200,39.9,287.1,0.367,0.349,3.081E-14,0.0087,0.008,9.107E-16
9.250,39.9,286.6,0.384,0.175,-1.745,0.0092,0.004,-0.042
9.300,40.0,286.1,0.384,0.175,0.000,0.0092,0.004,-1.735E-16
9.350,39.9,287.1,0.401,0.175,-3.081E-14,0.0096,0.004,-7.373E-16
9.400,39.9,286.1,0.401,0.175,0.000,0.0096,0.004,0.000
9.450,39.9,284.7,0.419,0.175,2.526E-14,0.0100,0.004,9.107E-16
9.500,39.9,285.2,0.419,0.175,-3.636E-14,0.0100,0.004,-5.638E-16
9.550,39.9,285.6,0.436,0.175,5.551E-15,0.0104,0.004,-1.735E-16
9.600,39.9,285.2,0.436,0.175,3.636E-14,0.0104,0.004,5.638E-16
9.650,39.9,285.2,0.454,0.175,0.000,0.0108,0.004,1.735E-16
9.700,39.9,285.6,0.454,0.175,0.000,0.0108,0.004,1.735E-16
9.750,40.0,285.6,0.471,0.175,-1.745,0.0112,0.004,-0.042
9.800,39.9,285.6,0.471,0.000,0.000,0.0112,0.000,-1.735E-16
9.850,39.9,286.1,0.471,0.175,1.745,0.0112,0.004,0.042
9.900,39.9,285.6,0.489,0.175,-1.745,0.0117,0.004,-0.042
9.950,39.9,285.6,0.489,0.000,0.000,0.0117,0.000,1.735E-16
10.000,39.9,286.1,0.489,0.175,1.745,0.0117,0.004,0.042
10.050,39.9,286.6,0.506,0.175,-1.745,0.0121,0.004,-0.042
10.100,39.9,287.1,0.506,0.000,2.526E-14,0.0121,0.000,5.638E-16
10.150,40.0,285.6,0.506,0.175,1.745,0.0121,0.004,0.042
10.200,39.9,285.6,0.524,0.175,-1.745,0.0125,0.004,-0.042
10.250,39.9,286.1,0.524,0.000,-1.971E-14,0.0125,0.000,-5.638E-16
10.300,39.9,285.6,0.524,0.175,1.745,0.0125,0.004,0.042
10.350,39.9,285.6,0.541,0.175,-1.745,0.0129,0.004,-0.042
10.400,40.0,285.6,0.541,0.000,-1.745,0.0129,0.000,-0.042
10.450,39.9,285.6,0.541,0.000,1.745,0.0129,0.000,0.042
10.500,39.9,285.6,0.541,0.175,1.745,0.0129,0.004,0.042
10.550,39.9,285.2,0.559,0.175,-1.745,0.0133,0.004,-0.042
10.600,39.9,284.7,0.559,0.000,-1.745,0.0133,0.000,-0.042
10.650,40.0,286.1,0.559,0.000,1.745,0.0133,0.000,0.042
10.700,39.9,286.1,0.559,0.175,1.745,0.0133,0.004,0.042
10.750,39.9,286.1,0.576,0.175,-1.745,0.0137,0.004,-0.042
10.800,39.9,286.1,0.576,0.000,-1.745,0.0137,0.000,-0.042
10.850,40.0,286.6,0.576,0.000,0.000,0.0137,0.000,0.000
10.900,40.0,286.6,0.576,0.000,1.745,0.0137,0.000,0.042
10.950,39.9,286.6,0.576,0.175,1.745,0.0137,0.004,0.042
11.000,39.9,285.6,0.593,0.175,-1.745,0.0142,0.004,-0.042
11.050,39.9,285.6,0.593,0.000,-1.745,0.0142,0.000,-0.042
11.100,40.0,286.6,0.593,0.000,0.000,0.0142,0.000,0.000
11.150,39.9,286.1,0.593,0.000,1.745,0.0142,0.000,0.042
11.200,39.9,286.1,0.593,0.175,1.745,0.0142,0.004,0.042
11.250,39.9,285.6,0.611,0.175,-1.745,0.0146,0.004,-0.042
11.300,39.9,285.6,0.611,0.000,-1.745,0.0146,0.000,-0.042
11.350,39.8,285.6,0.611,0.000,0.000,0.0146,0.000,0.000
11.400,39.9,286.1,0.611,0.000,0.000,0.0146,0.000,0.000
11.450,39.9,286.1,0.611,0.000,1.745,0.0146,0.000,0.042
11.500,39.9,285.6,0.611,0.175,1.745,0.0146,0.004,0.042
11.550,39.9,285.6,0.628,0.175,-1.745,0.0150,0.004,-0.042
11.600,39.9,285.6,0.628,0.000,-1.745,0.0150,0.000,-0.042
11.650,40.0,286.1,0.628,0.000,0.000,0.0150,0.000,0.000
11.700,39.9,286.1,0.628,0.000,0.000,0.0150,0.000,0.000
11.750,39.8,285.6,0.628,0.000,0.000,0.0150,0.000,0.000
11.800,39.9,285.2,0.628,0.000,1.745,0.0150,0.000,0.042
11.850,39.9,285.2,0.628,0.175,1.745,0.0150,0.004,0.042
11.900,39.9,285.6,0.646,0.175,-1.745,0.0154,0.004,-0.042
11.950,39.9,286.1,0.646,0.000,-1.745,0.0154,0.000,-0.042
12.000,39.9,286.1,0.646,0.000,0.000,0.0154,0.000,0.000
12.050,39.9,286.1,0.646,0.000,0.000,0.0154,0.000,0.000
12.100,40.0,286.1,0.646,0.000,0.000,0.0154,0.000,0.000
12.150,39.9,286.1,0.646,0.000,0.000,0.0154,0.000,0.000
12.200,39.9,286.6,0.646,0.000,0.000,0.0154,0.000,0.000
12.250,39.9,286.1,0.646,0.000,1.745,0.0154,0.000,0.042
12.300,39.9,285.6,0.646,0.175,1.745,0.0154,0.004,0.042
12.350,39.9,285.6,0.663,0.175,-1.745,0.0158,0.004,-0.042
12.400,39.9,286.6,0.663,0.000,-1.745,0.0158,0.000,-0.042
12.450,39.9,286.6,0.663,0.000,0.000,0.0158,0.000,0.000
12.500,39.9,286.6,0.663,0.000,0.000,0.0158,0.000,0.000
12.550,39.9,287.1,0.663,0.000,0.000,0.0158,0.000,0.000
12.600,39.9,287.1,0.663,0.000,0.000,0.0158,0.000,0.000
12.650,39.8,286.6,0.663,0.000,0.000,0.0158,0.000,0.000
12.700,39.9,287.1,0.663,0.000,0.000,0.0158,0.000,0.000
12.750,39.9,287.1,0.663,0.000,1.745,0.0158,0.000,0.042
12.800,39.9,287.1,0.663,0.175,1.745,0.0158,0.004,0.042
12.850,39.9,286.6,0.681,0.175,-1.745,0.0163,0.004,-0.042
12.900,39.8,286.1,0.681,0.000,-1.745,0.0163,0.000,-0.042
12.950,39.9,287.6,0.681,0.000,0.000,0.0163,0.000,0.000
13.000,39.9,287.6,0.681,0.000,0.000,0.0163,0.000,0.000
13.050,39.8,288.1,0.681,0.000,0.000,0.0163,0.000,0.000
13.100,39.8,287.6,0.681,0.000,0.000,0.0163,0.000,0.000
13.150,39.9,287.6,0.681,0.000,0.000,0.0163,0.000,0.000
13.200,39.9,288.1,0.681,0.000,0.000,0.0163,0.000,0.000
13.250,39.9,288.1,0.681,0.000,0.000,0.0163,0.000,0.000
13.300,39.9,287.6,0.681,0.000,0.000,0.0163,0.000,0.000
13.350,39.9,287.1,0.681,0.000,0.000,0.0163,0.000,0.000
13.400,39.9,287.1,0.681,0.000,0.000,0.0163,0.000,0.000
13.450,39.9,286.6,0.681,0.000,1.745,0.0163,0.000,0.042
13.500,39.9,286.6,0.681,0.175,1.745,0.0163,0.004,0.042
13.550,39.9,286.6,0.698,0.175,-1.745,0.0167,0.004,-0.042
13.600,39.8,286.6,0.698,0.000,-1.745,0.0167,0.000,-0.042
13.650,39.8,286.6,0.698,0.000,0.000,0.0167,0.000,0.000
13.700,39.8,287.1,0.698,0.000,0.000,0.0167,0.000,0.000
13.750,39.8,286.6,0.698,0.000,0.000,0.0167,0.000,0.000
13.800,39.8,286.6,0.698,0.000,0.000,0.0167,0.000,0.000
13.850,39.8,286.1,0.698,0.000,0.000,0.0167,0.000,0.000
13.900,39.8,286.1,0.698,0.000,0.000,0.0167,0.000,0.000
13.950,39.8,285.6,0.698,0.000,0.000,0.0167,0.000,0.000
14.000,39.9,285.6,0.698,0.000,0.000,0.0167,0.000,0.000
14.050,39.8,285.2,0.698,0.000,0.000,0.0167,0.000,0.000
14.100,39.8,285.2,0.698,0.000,0.000,0.0167,0.000,0.000
14.150,39.9,284.2,0.698,0.000,0.000,0.0167,0.000,0.000
14.200,39.8,284.2,0.698,0.000,0.000,0.0167,0.000,0.000
14.250,39.8,284.7,0.698,0.000,0.000,0.0167,0.000,0.000
14.300,39.8,284.7,0.698,0.000,0.000,0.0167,0.000,0.000
14.350,39.9,285.2,0.698,0.000,0.000,0.0167,0.000,0.000
14.400,39.8,284.7,0.698,0.000,1.745,0.0167,0.000,0.042
14.450,39.9,284.7,0.698,0.175,1.745,0.0167,0.004,0.042
14.500,39.8,284.7,0.716,0.175,-1.745,0.0171,0.004,-0.042
14.550,39.8,284.7,0.716,0.000,-1.745,0.0171,0.000,-0.042
14.600,39.8,284.7,0.716,0.000,0.000,0.0171,0.000,0.000
14.650,39.8,284.7,0.716,0.000,0.000,0.0171,0.000,0.000
14.700,39.9,285.2,0.716,0.000,0.000,0.0171,0.000,0.000
14.750,39.8,285.2,0.716,0.000,0.000,0.0171,0.000,0.000
14.800,39.8,285.2,0.716,0.000,0.000,0.0171,0.000,0.000
14.850,39.8,285.2,0.716,0.000,0.000,0.0171,0.000,0.000
14.900,39.9,285.2,0.716,0.000,0.000,0.0171,0.000,0.000
14.950,39.8,284.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.000,39.8,284.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.050,39.8,284.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.100,39.8,284.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.150,39.8,284.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.200,39.9,283.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.250,39.8,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.300,39.8,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.350,39.8,283.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.400,39.9,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.450,39.8,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.500,39.8,283.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.550,39.7,283.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.600,39.8,283.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.650,39.8,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.700,39.8,283.7,0.716,0.000,0.000,0.0171,0.000,0.000
15.750,39.8,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.800,39.8,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.850,39.8,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.900,39.8,283.2,0.716,0.000,0.000,0.0171,0.000,0.000
15.950,39.8,282.7,0.716,0.000,0.000,0.0171,0.000,0.000
16.000,39.8,283.2,0.716,0.000,1.745,0.0171,0.000,0.042
16.050,39.8,283.2,0.716,0.175,1.745,0.0171,0.004,0.042
16.100,39.8,283.2,0.733,0.175,-1.745,0.0175,0.004,-0.042
16.150,39.8,283.2,0.733,0.000,-1.745,0.0175,0.000,-0.042
16.200,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.250,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.300,39.8,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.350,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.400,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.450,39.7,282.7,0.733,0.000,0.000,0.0175,0.000,0.000
16.500,39.8,282.7,0.733,0.000,0.000,0.0175,0.000,0.000
16.550,39.7,282.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.600,39.7,282.7,0.733,0.000,0.000,0.0175,0.000,0.000
16.650,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.700,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.750,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.800,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.850,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.900,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
16.950,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.000,39.8,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.050,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.100,39.8,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.150,39.7,282.7,0.733,0.000,0.000,0.0175,0.000,0.000
17.200,39.8,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.250,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.300,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.350,39.7,283.7,0.733,0.000,0.000,0.0175,0.000,0.000
17.400,39.7,283.7,0.733,0.000,0.000,0.0175,0.000,0.000
17.450,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.500,39.7,283.7,0.733,0.000,0.000,0.0175,0.000,0.000
17.550,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.600,39.8,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.650,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.700,39.8,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.750,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.800,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.850,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
17.900,39.7,283.2,0.733,0.000,0.000,0.0175,0.000,0.000
