"Remote Data: Wavelength (nm)","Remote Data: Intensity (rel)"
350.2,0.0605783169299
350.9,0.0663309681849
351.5,0.0588082703899
352.2,0.0611886778058
352.8,0.0623636224918
353.4,0.0665751125353
354.1,0.0679942015717
354.7,0.0690928511482
355.4,0.0684214541848
356,0.071931029221
356.6,0.0661478599222
357.3,0.0584725719081
357.9,0.065583276112
358.6,0.0610513466087
359.2,0.0598458838788
359.8,0.0735332265202
360.5,0.0776379034104
361.1,0.0726329442283
361.8,0.0687418936446
362.4,0.0796520943008
363,0.0813458457313
363.7,0.0874189364462
364.3,0.0885633630884
364.9,0.0909132524605
365.6,0.0996719310292
366.2,0.109529259174
366.9,0.111009384298
367.5,0.10724040589
368.1,0.110582131685
368.8,0.102388036927
369.4,0.112382696269
370.1,0.118959334707
370.7,0.1078049897
371.3,0.113344014649
372,0.109864957656
372.6,0.10168612192
373.3,0.0989242389563
373.9,0.0951705195697
374.5,0.103639276722
375.2,0.11319142443
375.8,0.126527809567
376.4,0.125535973144
377.1,0.14384679942
377.7,0.161089494163
378.4,0.149340047303
379,0.134081025406
379.6,0.130525673304
380.3,0.146654459449
380.9,0.143160143435
381.6,0.126131074998
382.2,0.111787594415
382.8,0.100648508431
383.5,0.109117265583
384.1,0.138826581216
384.8,0.150347142748
385.4,0.143953612573
386,0.150514991989
386.7,0.150698100252
387.3,0.154375524529
387.9,0.159380483711
388.6,0.171175707637
389.2,0.204150453956
389.9,0.198687724117
390.5,0.212359807736
391.1,0.214663920043
391.8,0.179690241855
392.4,0.136171511406
393.1,0.115007248035
393.7,0.170183871214
394.3,0.221042191196
395,0.218310826276
395.6,0.193728542
396.3,0.153566796368
396.9,0.200961318379
397.5,0.289005874723
398.2,0.319005111772
398.8,0.328709849699
399.5,0.34119172961
400.1,0.341115434501
400.7,0.357503624018
401.4,0.373464560922
402,0.378210116732
402.6,0.356252384222
403.3,0.3734493019
403.9,0.344609750515
404.6,0.372381170367
405.2,0.371770809491
405.8,0.361440451667
406.5,0.372304875257
407.1,0.393942168307
407.8,0.407568474861
408.4,0.410650797284
409,0.38399328603
409.7,0.391363393606
410.3,0.438330663005
411,0.452460517281
411.6,0.446387426566
412.2,0.447531853208
412.9,0.441519798581
413.5,0.448203250172
414.1,0.458289463645
414.8,0.460547798886
415.4,0.469581139849
416.1,0.453986419471
416.7,0.44344243534
417.4,0.453437094682
418.1,0.460852979324
418.7,0.460227359426
419.4,0.462485694667
420.1,0.499336232547
420.7,0.489936675059
421.4,0.465064469368
422.1,0.460593575952
422.7,0.494193942168
423.4,0.500831616693
424.1,0.480872816052
424.7,0.479621576257
425.4,0.489631494621
426.1,0.487754634928
426.7,0.470664530404
427.4,0.486686503395
428.1,0.470664530404
428.7,0.44850843061
429.4,0.386572060731
430.1,0.40619516289
430.7,0.506950484474
431.4,0.551400015259
432.1,0.528084229801
432.7,0.566735332265
433.4,0.507179369802
434.1,0.572457465476
434.7,0.58382543679
